gen;original_env_id;genome_id;env0_fit;env1_fit;env2_fit;env3_fit;env4_fit;env5_fit;env6_fit
130; 17; 4131; 5.2668; 0.4108; 0.6534; 0.701; 2.9416; -0.555; -0.8459
130; 29; 395; 7.5603; 0.5956; 1.7915; 0.6655; 2.8125; -1.6636; 0.5733
135; 0; 3294; 7.5668; 0.6271; 4.5288; 0.6841; 7.5521; -0.9111; 0.9079
135; 12; 596; 2.8916; 0.8203; 0.1889; -1.0107; 2.1005; -1.2947; -0.1128
135; 15; 3294; 3.9055; 1.1967; 1.0685; -0.9586; 7.5459; 0.561; -0.905
135; 17; 4131; 5.2668; 0.4108; 0.6534; 0.701; 2.9416; -0.555; -0.8459
135; 29; 395; 7.5603; 0.5956; 1.7915; 0.6655; 2.8125; -1.6636; 0.5733
135; 41; 51; 5.3557; 0.4439; 0.1368; 7.376; 0.4439; -0.8866; 0.3037
140; 0; 3294; 7.5668; 0.6271; 4.5288; 0.6841; 7.5521; -0.9111; 0.9079
140; 12; 596; 3.1771; 1.3295; 3.4253; 1.0835; 3.9027; -0.6503; -1.0264
140; 15; 3294; 3.9055; 1.1967; 1.0685; -0.9586; 7.5459; 0.561; -0.905
140; 17; 4131; 5.2668; 0.4108; 0.6534; 0.701; 2.9416; -0.555; -0.8459
140; 29; 2792; 7.5603; 0.5956; 1.7915; 0.6655; 2.8125; -1.6636; 0.5733
140; 41; 384; 3.3561; 0.1768; 1.1423; -1.0458; 4.4689; 0.4448; -0.0601
145; 0; 3294; 7.5668; 0.6271; 4.5288; 0.6841; 7.5521; -0.9111; 0.9079
145; 12; 596; 4.2969; 2.4063; 0.8606; 1.3687; 2.8376; -0.9422; 1.76
145; 15; 3294; 3.9055; 1.1967; 1.0685; -0.9586; 7.5459; 0.561; -0.905
145; 17; 4131; 5.2668; 0.4108; 0.6534; 0.701; 2.9416; -0.555; -0.8459
145; 29; 2792; 7.5603; 0.5956; 1.7915; 0.6655; 2.8125; -1.6636; 0.5733
145; 41; 384; 3.3561; 0.1768; 1.1423; -1.0458; 4.4689; 0.4448; -0.0601
150; 0; 3294; 7.5668; 0.6271; 4.5288; 0.6841; 7.5521; -0.9111; 0.9079
150; 12; 596; 3.2267; 0.5657; 1.4569; 1.1728; 3.5825; -0.8941; 2.0471
150; 15; 3294; 3.2299; 1.2788; 1.009; 0.8745; 3.7056; -0.7081; 0.419
150; 17; 4131; 7.361; 7.3511; 0.1591; 1.1503; 2.8719; -0.98; 0.7216
150; 29; 2792; 7.5603; 0.5956; 1.7915; 0.6655; 2.8125; -1.6636; 0.5733
150; 41; 384; 0.891; 1.2909; 1.2255; 1.4442; 1.2909; 2.3283; 0.4669
155; 0; 3294; 7.5668; 0.6271; 4.5288; 0.6841; 7.5521; -0.9111; 0.9079
155; 12; 596; 3.2267; 0.5657; 1.4569; 1.1728; 3.5825; -0.8941; 2.0471
155; 15; 3294; 3.2299; 1.2788; 1.009; 0.8745; 3.7056; -0.7081; 0.419
155; 17; 4131; 5.4742; 2.3133; 2.2351; 0.6654; 0.9483; -0.5392; -0.5008
