gen;original_env_id;genome_id;env0_fit;env1_fit;env2_fit;env3_fit;env4_fit;env5_fit;env6_fit
160; 51; 213; 1.3495; 2.0202; -3.8259; 0.0023; 1.1152; -0.7998; -0.0814
160; 44; 1405; 1.2623; 5.2437; 0.6284; -0.9413; 5.1346; -1.0783; 1.1657
160; 47; 2264; -1.3989; 0.8999; -0.0271; -1.6339; 0.8999; -0.0045; -2.0717
165; 0; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
165; 4; 2090; 0.4637; 2.9219; 0.8631; -2.6977; 3.0425; -1.6818; 0.4549
165; 15; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
165; 9; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
165; 36; 2090; 2.1466; 0.7646; 0.2946; 0.1085; -2.0233; 0.1089; -0.812
165; 28; 2090; 3.4642; 1.1777; 0.6704; 0.025; 1.2938; 0.3245; 0.3172
165; 29; 2090; 0.0582; 0.1373; 0.3285; -1.1458; 0.1373; -1.1826; -1.182
165; 51; 213; 1.3495; 2.0202; -3.8259; 0.0023; 1.1152; -0.7998; -0.0814
165; 44; 1405; 1.2623; 5.2437; 0.6284; -0.9413; 5.1346; -1.0783; 1.1657
165; 47; 2264; -1.3989; 0.8999; -0.0271; -1.6339; 0.8999; -0.0045; -2.0717
170; 0; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
170; 4; 2090; -3.6744; 0.3599; -1.148; -0.0247; -0.793; -1.4496; -1.2379
170; 15; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
170; 9; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
170; 36; 2090; 2.1466; 0.7646; 0.2946; 0.1085; -2.0233; 0.1089; -0.812
170; 28; 2090; 3.4642; 1.1777; 0.6704; 0.025; 1.2938; 0.3245; 0.3172
170; 29; 2090; 0.0582; 0.1373; 0.3285; -1.1458; 0.1373; -1.1826; -1.182
170; 51; 213; 1.3495; 2.0202; -3.8259; 0.0023; 1.1152; -0.7998; -0.0814
170; 44; 1405; 1.2623; 5.2437; 0.6284; -0.9413; 5.1346; -1.0783; 1.1657
170; 47; 2264; 0.8727; 0.8803; -2.2878; -1.6825; 0.8486; -2.8639; 1.6646
175; 0; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
175; 4; 2090; -3.6744; 0.3599; -1.148; -0.0247; -0.793; -1.4496; -1.2379
175; 15; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
175; 9; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
175; 36; 2090; 1.1752; 0.7121; -0.2321; -4.7287; 0.7145; 0.1868; -4.0866
175; 28; 2090; 0.4847; -0.0527; 0.5293; -2.4138; 2.593; -2.7154; -1.5577
175; 29; 2090; 0.354; 0.7436; -3.8989; -2.3047; 0.7436; -3.171; 1.6539
175; 51; 213; 1.3495; 2.0202; -3.8259; 0.0023; 1.1152; -0.7998; -0.0814
175; 44; 1405; 1.2623; 5.2437; 0.6284; -0.9413; 5.1346; -1.0783; 1.1657
175; 47; 2264; 0.8727; 0.8803; -2.2878; -1.6825; 0.8486; -2.8639; 1.6646
180; 0; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
180; 4; 2090; -3.6744; 0.3599; -1.148; -0.0247; -0.793; -1.4496; -1.2379
180; 15; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
180; 9; 2090; 4.7077; 0.6906; 0.5257; 7.4576; 3.2299; -3.9212; -2.3108
180; 36; 2090; 1.1752; 0.7121; -0.2321; -4.7287; 0.7145; 0.1868; -4.0866
180; 28; 2090; 0.4847; -0.0527; 0.5293; -2.4138; 2.593; -2.7154; -1.5577
180; 29; 2090; 0.354; 0.7436; -3.8989; -2.3047; 0.7436; -3.171; 1.6539
180; 51; 213; 1.8954; -2.3295; 0.7104; -3.5818; 1.5383; -1.4217; 1.5434
180; 44; 1405; 1.2801; 3.794; 0.9074; -2.5214; 3.6449; -1.3593; 4.0164
180; 47; 2264; 1.8954; -2.325; -0.0865; 1.3363; 1.9473; -3.6153; 1.6255
